140,인디아나 존스 4 : 크리스탈 해골의 왕국,2008-05-22,"26,689,440,000","4,111,753",771,"75,393",미국,미국,CJ ENM
141,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987",한국,한국,(주)씨제이이엔엠
142,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
143,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724",한국,한국,(주)싸이더스
144,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419",한국,한국,(주)쇼박스
145,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
146,혹성탈출: 반격의 서막,2014-07-10,"31,514,053,095","4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
147,쿵푸팬더3,2016-01-28,"31,340,813,156","3,984,814","1,365","97,405",미국,미국,(주)씨제이이엔엠
148,캡틴 아메리카: 윈터 솔져,2014-03-26,"31,717,175,385","3,963,964","1,106","110,124",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
149,매드 맥스: 분노의 도로,2015-05-14,"33,649,857,862","3,914,023",799,"103,297",미국,"미국,호주",워너브러더스 코리아(주)
150,캐리비안의 해적 : 망자의 함,2006-07-06,"23,832,939,000","3,911,617",456,"49,648",미국,미국,브에나비스타인터내셔널코리아
151,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604",한국,한국,(주)쇼박스
152,베놈,2018-10-03,"34,100,211,207","3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
153,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499",한국,한국,(주)쇼박스
154,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,304",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
155,남한산성,2017-10-03,"31,225,419,792","3,849,129","1,229","71,102",한국,한국,(주)씨제이이엔엠
156,반도,2020-07-15,"33,073,948,880","3,812,455","2,575","199,084",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
157,암수살인,2018-10-03,"32,998,321,048","3,789,553","1,177","126,129",한국,한국,(주)쇼박스
158,데드풀 2,2018-05-16,"34,185,664,639","3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주)
159,라라랜드,2016-12-07,"30,971,634,208","3,755,983",727,"114,659",미국,미국,판씨네마(주)
160,국가부도의 날,2018-11-28,"30,895,057,837","3,755,469","1,180","101,172",한국,한국,(주)씨제이이엔엠
161,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498",한국,한국,(주)쇼박스
162,해리 포터와 불사조 기사단,2007-07-11,"22,899,775,300","3,691,060",768,"52,349",미국,미국,워너브러더스 코리아(주)
163,미이라,2017-06-06,"30,504,689,978","3,689,325","1,257","105,228",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
164,82년생 김지영,2019-10-23,"30,306,859,310","3,679,162","1,486","145,464",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
165,분노의 질주: 더 익스트림,2017-04-12,"30,044,577,348","3,659,683","1,469","114,213",미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
166,분노의 질주: 홉스&쇼,2019-08-14,"32,242,734,793","3,657,627","1,311","94,904",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
